clip_id,filename,clip_path,window_start,window_end,window_duration,is_labeled,look_away_level,looking_away,frequent_looking_away,face_not_visible,excessive_head_movement,noticeable_fidgeting,distracted_by_offscreen_activity,camera_or_video_issue,reading_from_screen_or_notes,looking_down_frequently,body_out_of_frame,poor_lighting,background_distraction_visible,hand_to_face_or_hair,annotation_quality,notes
sample31_0000.00_0003.00,sample31.mp4,,0.0,3.0,3.0,,,,,,,,,,,,,,,,,
sample31_0003.00_0006.00,sample31.mp4,,3.0,6.0,3.0,,,,,,,,,,,,,,,,,
sample31_0006.00_0009.00,sample31.mp4,,6.0,9.0,3.0,,,,,,,,,,,,,,,,,
sample31_0009.00_0012.00,sample31.mp4,,9.0,12.0,3.0,,,,,,,,,,,,,,,,,
sample31_0012.00_0015.00,sample31.mp4,,12.0,15.0,3.0,,,,,,,,,,,,,,,,,
sample31_0015.00_0018.00,sample31.mp4,,15.0,18.0,3.0,,,,,,,,,,,,,,,,,
sample31_0018.00_0021.00,sample31.mp4,,18.0,21.0,3.0,,,,,,,,,,,,,,,,,
sample31_0021.00_0024.00,sample31.mp4,,21.0,24.0,3.0,,,,,,,,,,,,,,,,,
sample31_0024.00_0027.00,sample31.mp4,,24.0,27.0,3.0,,,,,,,,,,,,,,,,,
sample31_0027.00_0030.00,sample31.mp4,,27.0,30.0,3.0,,,,,,,,,,,,,,,,,
sample31_0030.00_0033.00,sample31.mp4,,30.0,33.0,3.0,,,,,,,,,,,,,,,,,
sample31_0033.00_0036.00,sample31.mp4,,33.0,36.0,3.0,,,,,,,,,,,,,,,,,
sample31_0036.00_0039.00,sample31.mp4,,36.0,39.0,3.0,,,,,,,,,,,,,,,,,
sample31_0039.00_0042.00,sample31.mp4,,39.0,42.0,3.0,,,,,,,,,,,,,,,,,
sample31_0042.00_0045.00,sample31.mp4,,42.0,45.0,3.0,,,,,,,,,,,,,,,,,
sample31_0045.00_0048.00,sample31.mp4,,45.0,48.0,3.0,,,,,,,,,,,,,,,,,
sample31_0048.00_0051.00,sample31.mp4,,48.0,51.0,3.0,,,,,,,,,,,,,,,,,
sample31_0051.00_0054.00,sample31.mp4,,51.0,54.0,3.0,,,,,,,,,,,,,,,,,
sample31_0054.00_0057.00,sample31.mp4,,54.0,57.0,3.0,,,,,,,,,,,,,,,,,
sample31_0057.00_0060.00,sample31.mp4,,57.0,60.0,3.0,,,,,,,,,,,,,,,,,
sample31_0060.00_0063.00,sample31.mp4,,60.0,63.0,3.0,,,,,,,,,,,,,,,,,
sample31_0063.00_0066.00,sample31.mp4,,63.0,66.0,3.0,,,,,,,,,,,,,,,,,
sample31_0066.00_0069.00,sample31.mp4,,66.0,69.0,3.0,,,,,,,,,,,,,,,,,
sample31_0069.00_0072.00,sample31.mp4,,69.0,72.0,3.0,,,,,,,,,,,,,,,,,
sample31_0072.00_0075.00,sample31.mp4,,72.0,75.0,3.0,,,,,,,,,,,,,,,,,
sample31_0075.00_0078.00,sample31.mp4,,75.0,78.0,3.0,,,,,,,,,,,,,,,,,
sample31_0078.00_0081.00,sample31.mp4,,78.0,81.0,3.0,,,,,,,,,,,,,,,,,
sample31_0081.00_0084.00,sample31.mp4,,81.0,84.0,3.0,,,,,,,,,,,,,,,,,
sample31_0084.00_0087.00,sample31.mp4,,84.0,87.0,3.0,,,,,,,,,,,,,,,,,
sample31_0087.00_0090.00,sample31.mp4,,87.0,90.0,3.0,,,,,,,,,,,,,,,,,
sample31_0090.00_0093.00,sample31.mp4,,90.0,93.0,3.0,,,,,,,,,,,,,,,,,
sample31_0093.00_0096.00,sample31.mp4,,93.0,96.0,3.0,,,,,,,,,,,,,,,,,
sample31_0096.00_0099.00,sample31.mp4,,96.0,99.0,3.0,,,,,,,,,,,,,,,,,
sample31_0099.00_0102.00,sample31.mp4,,99.0,102.0,3.0,,,,,,,,,,,,,,,,,
sample31_0102.00_0105.00,sample31.mp4,,102.0,105.0,3.0,,,,,,,,,,,,,,,,,
sample31_0105.00_0108.00,sample31.mp4,,105.0,108.0,3.0,,,,,,,,,,,,,,,,,
sample31_0108.00_0111.00,sample31.mp4,,108.0,111.0,3.0,,,,,,,,,,,,,,,,,
sample31_0111.00_0114.00,sample31.mp4,,111.0,114.0,3.0,,,,,,,,,,,,,,,,,
sample31_0114.00_0117.00,sample31.mp4,,114.0,117.0,3.0,,,,,,,,,,,,,,,,,
sample31_0117.00_0120.00,sample31.mp4,,117.0,120.0,3.0,,,,,,,,,,,,,,,,,
sample31_0120.00_0123.00,sample31.mp4,,120.0,123.0,3.0,,,,,,,,,,,,,,,,,
sample31_0123.00_0126.00,sample31.mp4,,123.0,126.0,3.0,,,,,,,,,,,,,,,,,
sample31_0126.00_0129.00,sample31.mp4,,126.0,129.0,3.0,,,,,,,,,,,,,,,,,
sample31_0129.00_0132.00,sample31.mp4,,129.0,132.0,3.0,,,,,,,,,,,,,,,,,
sample31_0132.00_0135.00,sample31.mp4,,132.0,135.0,3.0,,,,,,,,,,,,,,,,,
sample31_0135.00_0138.00,sample31.mp4,,135.0,138.0,3.0,,,,,,,,,,,,,,,,,
sample31_0138.00_0141.00,sample31.mp4,,138.0,141.0,3.0,,,,,,,,,,,,,,,,,
sample31_0141.00_0144.00,sample31.mp4,,141.0,144.0,3.0,,,,,,,,,,,,,,,,,
sample31_0144.00_0147.00,sample31.mp4,,144.0,147.0,3.0,,,,,,,,,,,,,,,,,
sample31_0147.00_0150.00,sample31.mp4,,147.0,150.0,3.0,,,,,,,,,,,,,,,,,
sample31_0150.00_0153.00,sample31.mp4,,150.0,153.0,3.0,,,,,,,,,,,,,,,,,
sample31_0153.00_0156.00,sample31.mp4,,153.0,156.0,3.0,,,,,,,,,,,,,,,,,
sample31_0156.00_0159.00,sample31.mp4,,156.0,159.0,3.0,,,,,,,,,,,,,,,,,
sample31_0159.00_0162.00,sample31.mp4,,159.0,162.0,3.0,,,,,,,,,,,,,,,,,
sample31_0162.00_0165.00,sample31.mp4,,162.0,165.0,3.0,,,,,,,,,,,,,,,,,
sample31_0165.00_0168.00,sample31.mp4,,165.0,168.0,3.0,,,,,,,,,,,,,,,,,
sample31_0168.00_0171.00,sample31.mp4,,168.0,171.0,3.0,,,,,,,,,,,,,,,,,
sample31_0171.00_0174.00,sample31.mp4,,171.0,174.0,3.0,,,,,,,,,,,,,,,,,
sample31_0174.00_0177.00,sample31.mp4,,174.0,177.0,3.0,,,,,,,,,,,,,,,,,
sample31_0177.00_0180.00,sample31.mp4,,177.0,180.0,3.0,,,,,,,,,,,,,,,,,
sample31_0180.00_0183.00,sample31.mp4,,180.0,183.0,3.0,,,,,,,,,,,,,,,,,
sample31_0183.00_0186.00,sample31.mp4,,183.0,186.0,3.0,,,,,,,,,,,,,,,,,
sample31_0186.00_0189.00,sample31.mp4,,186.0,189.0,3.0,,,,,,,,,,,,,,,,,
sample31_0189.00_0192.00,sample31.mp4,,189.0,192.0,3.0,,,,,,,,,,,,,,,,,
sample31_0192.00_0195.00,sample31.mp4,,192.0,195.0,3.0,,,,,,,,,,,,,,,,,
sample31_0195.00_0198.00,sample31.mp4,,195.0,198.0,3.0,,,,,,,,,,,,,,,,,
sample31_0198.00_0201.00,sample31.mp4,,198.0,201.0,3.0,,,,,,,,,,,,,,,,,
sample31_0201.00_0204.00,sample31.mp4,,201.0,204.0,3.0,,,,,,,,,,,,,,,,,
sample31_0204.00_0207.00,sample31.mp4,,204.0,207.0,3.0,,,,,,,,,,,,,,,,,
