filename,window_start,window_end,window_duration,window_frames,eye_contact_ratio,face_visibility_ratio,gaze_center_ratio,valid_gaze_frames,gaze_center_frames,looking_away_total_time,head_pitch_offset_mean,head_pitch_offset_std,head_yaw_mean,head_yaw_std,head_roll_mean,head_roll_std,head_movement_mean_delta,head_movement_stability_score,blink_count,blink_rate_per_minute,gaze_horizontal_ratio_mean,gaze_horizontal_ratio_std,gaze_vertical_ratio_mean,gaze_vertical_ratio_std
sample1.mp4,0.0,5.0,5.0,13,1.0,1.0,1.0,13,13,0.0,4.6278,3.8495,-1.1378,4.6975,3.0384,2.5435,52.3577,1.87,3,36.0,0.5452,0.0201,0.686,0.1898
sample1.mp4,1.0,6.0,5.0,12,1.0,1.0,1.0,12,12,0.0,3.4856,2.8318,-3.2579,5.2676,1.437,6.2776,57.2882,1.72,4,48.0,0.5574,0.0297,0.7128,0.2053
sample1.mp4,2.0,7.0,5.0,13,1.0,1.0,1.0,13,13,0.0,3.6485,2.713,-1.9851,5.963,-0.9171,7.0889,52.4341,1.87,4,48.0,0.5424,0.0462,0.7146,0.1977
sample1.mp4,3.0,8.0,5.0,12,1.0,1.0,1.0,12,12,0.0,3.0883,2.4998,1.3668,9.5404,-1.099,7.48,68.3654,1.44,4,48.0,0.5527,0.0554,0.6658,0.1169
sample1.mp4,4.0,9.0,5.0,13,1.0,1.0,1.0,12,12,0.0,3.4478,2.5519,3.9267,8.8099,-0.1202,7.8649,43.3723,2.25,4,48.0,0.5499,0.058,0.6723,0.1311
sample1.mp4,5.0,10.0,5.0,12,1.0,1.0,1.0,11,11,0.0,3.9941,3.0511,5.0895,8.4995,-0.2656,8.1786,35.9285,2.71,4,48.0,0.5479,0.0599,0.7434,0.326
sample1.mp4,6.0,11.0,5.0,13,1.0,1.0,1.0,12,12,0.0,3.9987,2.9617,3.6604,9.264,-1.5303,9.3337,33.9807,2.86,5,60.0,0.5321,0.0542,0.7332,0.3104
sample1.mp4,7.0,12.0,5.0,12,1.0,1.0,1.0,11,11,0.0,4.3442,2.9004,1.2271,10.5092,-2.6783,11.2453,25.4639,3.78,3,36.0,0.5459,0.0449,0.7445,0.3248
sample1.mp4,8.0,13.0,5.0,13,0.9231,1.0,0.9167,12,11,0.4,5.4242,2.7257,-3.3854,8.0575,-4.6453,10.077,23.702,4.05,4,48.0,0.5587,0.0697,0.8079,0.3235
sample1.mp4,9.0,14.0,5.0,12,0.8333,1.0,0.8333,12,10,0.8,5.5393,2.6235,-6.8696,5.4951,-7.4949,8.1356,25.2838,3.8,4,48.0,0.5728,0.0744,0.8618,0.3441
