filename,window_start,window_end,window_duration,window_frames,eye_contact_ratio,face_visibility_ratio,gaze_center_ratio,valid_gaze_frames,gaze_center_frames,looking_away_total_time,head_pitch_offset_mean,head_pitch_offset_std,head_yaw_mean,head_yaw_std,head_roll_mean,head_roll_std,head_movement_mean_delta,head_movement_stability_score,blink_count,blink_rate_per_minute,gaze_horizontal_ratio_mean,gaze_horizontal_ratio_std,gaze_vertical_ratio_mean,gaze_vertical_ratio_std,primary_gaze_horizontal_ratio,primary_gaze_vertical_ratio,primary_gaze_zone_ratio,secondary_gaze_zone_ratio,gaze_deviation_from_primary_ratio,gaze_deviation_from_primary_mean,primary_head_pitch,primary_head_yaw,head_deviation_from_primary_ratio,head_deviation_from_primary_mean
sample77.mp4,0.0,3.0,3.0,9,0.2222,1.0,0.0,1,0,2.33,6.7734,4.9575,-27.4673,3.8449,1.1113,2.443,17.7408,5.34,0,0.0,1.0455,,1.35,,0.9605,1.2125,0.1505,0.116,0.0,0.1616,-174.5572,-30.3746,0.2222,44.8157
sample77.mp4,3.0,6.0,3.0,9,0.1111,1.0,0.0,1,0,2.67,6.2932,2.0958,-27.3984,2.1986,-0.6231,4.5444,2.1562,31.68,0,0.0,0.8712,,1.0,,0.9605,1.2125,0.1505,0.116,1.0,0.2305,-174.5572,-30.3746,0.0,3.9882
sample77.mp4,6.0,9.0,3.0,9,0.1111,1.0,0.0,4,0,2.67,9.5584,2.9874,-27.3504,1.9289,-0.8951,2.8626,2.1178,32.07,0,0.0,0.8774,0.0916,1.2333,0.1137,0.9605,1.2125,0.1505,0.116,0.25,0.141,-174.5572,-30.3746,0.0,5.4935
sample77.mp4,9.0,12.0,3.0,9,0.5556,1.0,0.0,3,0,1.33,7.359,1.8352,-28.0867,2.4229,0.1968,2.5477,1.9658,33.72,0,0.0,0.9336,0.0347,1.1722,0.0906,0.9605,1.2125,0.1505,0.116,0.0,0.1081,-174.5572,-30.3746,0.0,3.8432
sample77.mp4,12.0,15.0,3.0,9,0.7778,1.0,0.0,2,0,0.67,7.6707,3.1378,-27.3481,2.6361,-2.2096,1.7248,2.2127,31.13,0,0.0,0.8654,0.0577,1.1125,0.0125,0.9605,1.2125,0.1505,0.116,0.0,0.1473,-174.5572,-30.3746,0.0,4.9781
sample77.mp4,15.0,18.0,3.0,9,0.5556,1.0,0.0,4,0,1.33,6.99,3.4242,-29.1931,2.0527,-19.1294,53.6653,44.8416,2.18,0,0.0,0.9957,0.1073,1.2208,0.1672,0.9605,1.2125,0.1505,0.116,0.25,0.179,-174.5572,-30.3746,0.1111,42.9582
sample77.mp4,18.0,21.0,3.0,9,0.8889,1.0,0.0,1,0,0.33,5.7951,1.5308,-28.2136,2.0532,-0.4718,2.7244,1.8762,34.77,0,0.0,0.9615,,1.2,,0.9605,1.2125,0.1505,0.116,0.0,0.0125,-174.5572,-30.3746,0.0,3.0915
sample77.mp4,21.0,24.0,3.0,9,0.7778,1.0,0.0,2,0,0.67,5.9058,1.8264,-28.8222,3.6006,-1.4428,4.6683,2.8279,26.12,0,0.0,1.0078,0.0376,1.2375,0.1375,0.9605,1.2125,0.1505,0.116,0.5,0.1481,-174.5572,-30.3746,0.0,3.9465
sample77.mp4,24.0,27.0,3.0,9,0.3333,1.0,0.0,6,0,2.0,6.8425,2.9853,-27.3961,2.6715,0.1912,1.1591,2.1773,31.47,1,20.0,0.8867,0.0958,1.2764,0.1816,0.9605,1.2125,0.1505,0.116,0.3333,0.1775,-174.5572,-30.3746,0.0,4.9201
sample77.mp4,27.0,30.0,3.0,9,0.3333,1.0,0.0,6,0,2.0,7.7053,1.42,-28.7694,2.9894,-2.9062,0.9709,1.6058,38.38,0,0.0,0.845,0.073,1.1667,0.0745,0.9605,1.2125,0.1505,0.116,0.3333,0.1494,-174.5572,-30.3746,0.0,3.7228
sample77.mp4,30.0,33.0,3.0,9,0.3333,1.0,0.0,6,0,2.0,9.4242,1.653,-26.7486,1.4747,-0.6325,1.2449,1.3369,42.79,0,0.0,0.9345,0.072,1.175,0.0842,0.9605,1.2125,0.1505,0.116,0.0,0.1131,-174.5572,-30.3746,0.0,5.7617
sample77.mp4,33.0,36.0,3.0,9,0.5556,1.0,0.0,4,0,1.33,5.231,2.8509,-27.56,4.0242,-1.7319,2.7147,2.9678,25.2,0,0.0,0.906,0.0426,1.2063,0.0715,0.9605,1.2125,0.1505,0.116,0.0,0.0945,-174.5572,-30.3746,0.0,4.7099
sample77.mp4,36.0,39.0,3.0,9,0.3333,1.0,0.0,6,0,2.0,7.5797,2.0849,-27.2157,2.2225,-2.1932,2.2358,1.8417,35.19,0,0.0,0.8919,0.0454,1.2292,0.122,0.9605,1.2125,0.1505,0.116,0.1667,0.1206,-174.5572,-30.3746,0.0,4.7215
